Name,SATPercentage,SAT_Bottom25Percent,SAT_Top25Percent,ACTPercentage,ACT_Bottom25Percent,ACT_Top25Percent,PercentageAdmitted,InStateTuition_2014,OutofStateTuition_2014,State,Region,Type,Location,PercentageBlack,PercentageLatinx,PercentageFemale,GraduationRate,PercentageRecievingAnyFinancialAid,PercentageRecievingPellGrant
Bacone College,24,350,485,65,15,19,72,28010,28010,Oklahoma,Southwest,Private,Distant Town,30,8,37,2,83,83
Paul Quinn College,34,360,440,51,13,18,99,26300,26300,Texas,Southwest,Private,Large City,87,11,54,4,71,59
Southern University at New Orleans,1,420,650,99,15,18,49,16191,16191,Louisiana,Southeast,Public,Large City,83,1,75,8,58,58
University of Houston-Downtown,87,380,480,19,16,21,95,,,Texas,Southwest,Public,Large City,25,39,60,9,78,65
Florida College,47,470,590,69,20,26,59,26750,26750,Florida,Southeast,Private,Large Suburb,6,6,50,9,85,35
West Virginia State University,9,405,495,83,18,22,45,18141,26073,West Virginia,Southeast,Public,Midsize Suburb,10,1,55,11,76,53
Mid-Continent University,2,350,500,70,15,24,70,26041,26041,Kentucky,Southeast,Private,Fringe Rural,14,2,65,11,94,83
Texas Southern University,76,370,450,40,15,19,45,24566,35186,Texas,Southwest,Public,Large City,84,6,59,12,89,78
Bluefield State College,16,410,500,72,17,21,43,,,West Virginia,Southeast,Public,Remote Town,10,1,62,12,90,63
Brewton-Parker College,75,400,490,51,17,20,51,24786,24786,Georgia,Southeast,Private,Distant Rural,24,3,46,13,100,57
Kentucky State University,12,350,450,93,16,20,38,17506,26302,Kentucky,Southeast,Public,Distant Town,56,1,59,13,83,75
Truett-McConnell College,81,430,530,51,17,22,81,28410,28410,Georgia,Southeast,Private,Fringe Rural,6,3,57,13,100,45
West Virginia University Institute of Technology,23,430,530,80,18,24,51,17673,26481,West Virginia,Southeast,Public,Fringe Rural,7,5,38,13,88,55
Chicago State University,3,430,510,99,17,20,29,23202,29594,Illinois,Great Lakes,Public,Large City,78,6,71,13,91,85
Edward Waters College,24,350,440,69,15,18,27,23833,23833,Florida,Southeast,Private,Large City,92,2,47,13,96,82
Paine College,52,340,430,56,14,18,44,23850,23850,Georgia,Southeast,Private,Midsize City,91,2,49,14,97,84
University of Arkansas at Little Rock,3,360,480,82,20,27,53,23191,32968,Arkansas,Southeast,Public,Midsize City,23,6,59,15,92,53
Purdue University-North Central Campus,70,430,520,24,17,23,72,,,Indiana,Great Lakes,Public,Fringe Rural,5,10,60,16,50,46
Indiana University-Purdue University-Fort Wayne,91,440,540,36,19,24,83,23481,33313,Indiana,Great Lakes,Public,Large City,5,5,55,16,59,43
LIU Brooklyn,86,400,500,9,17,22,87,50514,50514,New York,Mid East,Private,Large City,32,16,70,16,97,71
Livingstone College,58,320,410,35,13,16,71,25920,25920,North Carolina,Southeast,Private,Midsize Suburb,91,1,44,16,89,86
Metropolitan State University of Denver,3,460,590,86,18,23,71,,,Colorado,Rocky Mountains,Public,Large City,6,21,54,16,50,40
California State University-Dominguez Hills,80,380,470,21,15,19,57,21286,32446,California,Far West,Public,Small City,17,53,64,16,78,74
Rust College,2,310,360,77,13,14,14,15400,15400,Mississippi,Southeast,Private,Distant Town,95,0,61,17,97,94
